Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
31084,50227.0,21359.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=269055F53ED1BD2EEA84F3F3A9B61731?id=1967MAY/SCH837-844:1,2.0,3.49,-13,-76992,HCN,H(.),,CN,H2,,1000,2.0
31085,50230.0,21361.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0FD8A89C1AEB625C909C5F62F7A5E988?id=2009GU/KAI1797-1803:2,2.0,1.12,-10,,HCN,C2,,H(.),CCCN,,90,2.0
31086,50232.0,21363.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=450578B6B82B9D0B03E10E1DB65174C6?id=2003TOM/GRA311-322:13,2.0,1.2,7,,HCN,N2O,,HN=C=O,N2,,,2.0
31087,50236.0,21367.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5A6027A597B1A2163CB12FCE590993C7?id=1988MIL/MEL919:3,2.0,1.07,-13,-48972,HCN,(.)OH,,CO,(.)NH2,,500,2.0
31088,50237.0,21368.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=00DDB0FCC16F5E99DB2C201886A7D1CD?id=1991TSA/HER609-663:9,2.0,6.11,-14,-50718,HCN,(.)OH,,HO-C#N,H(.),,298,2.0
31089,50238.0,21368.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=00DDB0FCC16F5E99DB2C201886A7D1CD?id=1977HAY113:2,2.0,3.32,-13,,HCN,(.)OH,,HO-C#N,H(.),,1950,2.0
31090,50239.0,21368.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=00DDB0FCC16F5E99DB2C201886A7D1CD?id=1988MIL/MEL919:2,2.0,2.01,-11,-70839,HCN,(.)OH,,HO-C#N,H(.),,500,2.0
31091,50240.0,21369.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=72A02E73DD087402D9D53F399776F834?id=1991TSA/HER609-663:8,2.0,4.18,-18,2062,HCN,(.)OH,,HN=C=O,H(.),,298,2.0
31092,50241.0,21369.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=72A02E73DD087402D9D53F399776F834?id=1988MIL/MEL919:1,2.0,2.84,-13,-36584,HCN,(.)OH,,HN=C=O,H(.),,500,2.0
31093,50242.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1992BAU/COB411-429:64,2.0,1.5,-11,-44898,HCN,(.)OH,,CN,H2O,,1500,2.0
31094,50243.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1991TSA/HER609-663:7,2.0,1.84,-13,-32343,HCN,(.)OH,,CN,H2O,,298,2.0
31095,50244.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1995WOO/HAN1075-1087:1,2.0,2.19,-13,-43069,HCN,(.)OH,,CN,H2O,,500,2.0
31096,50245.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1984SZE/HAN1609:4,2.0,2.41,-11,-45730,HCN,(.)OH,,CN,H2O,,850,2.0
31097,50247.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=2002WAN/ZHA341-346:1,2.0,2.41,-11,-45730,HCN,(.)OH,,CN,H2O,,298,2.0
31098,50248.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1989JAC/WAH1093-1100:3,2.0,1.28,-11,-34588,HCN,(.)OH,,CN,H2O,,518,2.0
31099,50249.0,21370.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39350972B1F917673BF6F6928D715C11?id=1988JAC/WAH203:2,2.0,1.28,-11,-34588,HCN,(.)OH,,CN,H2O,,518,2.0
31100,50261.0,21374.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB26E818173725869A846123EE92F1C8?id=1993MON/ROM17115-17122:2,2.0,4.5,-14,,HCN,C2H3,,CH2CHCN,H(.),,"298
 
K",2.0
31101,50262.0,21375.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=53B60B2BFB682D689D210123560CC2D0?id=1991TSA/HER609-663:6,2.0,1,-11,-143009,HCN,HCO,,CH2O,CN,,300,2.0
31102,50263.0,21375.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=53B60B2BFB682D689D210123560CC2D0?id=1997FEN/WAN43-46:2,2.0,1,-11,-143009,HCN,HCO,,CH2O,CN,,298,2.0
31103,50264.0,21376.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=EA3329C81F970535C59E32B9A35268BF?id=1983LAN/OEX158:1,2.0,2.57,-12,-57702,HCN,(.)CF3,,CN,CHF3,,573,2.0
31105,50268.0,21379.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F52B59B97E6C9F27823F4CCC83C5A57B?id=1992LIN/HE1103-1107:1,1.0,3.5,13,-197884,HCN,,,HNC,,,300,1.0
31106,50269.0,21380.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DE82E9A6D35C90BC4D04B171CE14EBDE?id=1999ROD/VAR6366-6372:1,1.0,2.73,11,,HCN,,,HCN,,,50,1.0
31107,50270.0,21381.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=68B01EAF9B259EE26AFABAFA4D6C2817?id=1991TSA/HER609-663:4,2.0,1.93,-4,-522149,HCN,,,CN,H(.),,1800,2.0
