Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
9342,12407.0,5290.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=782B21D8A3FF41CC7E24BAE16FCFDD12?id=1996VIN/VER1455-1458:1,2.0,3.3,-10,-2195,[None],[None],,[None],[None],,305,2.0
9444,12552.0,5361.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=678CAE4DF9B13B696C868C7D09292971?id=1997HRA/FON2323-2326:5,2.0,9,-10,-49554,[None],[None],,[None],[None],,466,2.0
9471,12602.0,5400.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=229D3CA5177E6CCBC363A31C08AD920E?id=1982KAS/MAN630-631:14,2.0,4.65,-10,-29267,[None],[None],,[None],[None],,973,2.0
9478,12610.0,5403.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5153B230CCF32CBC26F9674550414719?id=1982KAS/MAN630-631:12,2.0,1.66,-10,-30514,[None],[None],,[None],[None],,993,2.0
9505,12677.0,5443.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4C1DD9C4717F93FDD5F94B059A9B5A8E?id=1978WIE/YUE1225:4,2.0,5.3,-11,,[None],[None],,[None],[None],,"295
 
K",2.0
9521,12698.0,5458.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D980322D841CE8A917DD8BCC162B48C9?id=2000VIN/HEL6406-6410:2,2.0,7.3,-10,-400,[None],[None],,[None],[None],,303,2.0
9522,12699.0,5458.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D980322D841CE8A917DD8BCC162B48C9?id=1982KAS/MAN630-631:9,2.0,1.57,-12,,[None],[None],,[None],[None],,933,2.0
9528,12705.0,5461.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=750BC9F844043D87E270C0F820697FF6?id=1982KAS/MAN630-631:7,2.0,1.25,-11,,[None],[None],,[None],[None],,980,2.0
9529,12706.0,5462.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AC5A5F025F2452668D36351A25DF450B?id=1944EVA/WAL384:19,2.0,6.31,-11,,[None],[None],,[None],[None],,"553
 
K",2.0
9536,12713.0,5469.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BD670EC3CAF78C0E5631792F50E15F13?id=1936HEL/POL633:12,2.0,8.12,-10,,[None],[None],,[None],['[Ge](Cl)Cl'],,"543
 
K",2.0
9547,12724.0,5473.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3659E40C44443EB8E834AC7A3E228653?id=1965GOW/THO5068:9,2.0,1.15,-12,,[None],[None],,[None],[None],,"520
 
K",2.0
9548,12725.0,5473.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3659E40C44443EB8E834AC7A3E228653?id=1936HEL/POL633:11,2.0,6.69,-13,,[None],[None],,[None],[None],,"543
 
K",2.0
9560,12738.0,5477.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C7411EC71FDA783AF5EBCC6A49107E11?id=1936HEL/POL633:8,2.0,2.41,-10,,[None],[None],,[None],['[Si](Br)(Br)(Br)Br'],,"543
 
K",2.0
