ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
270,3.98,12,-144672,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,,[None],,
271,3.16,13,-136357,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,,[None],,
272,3.98,12,-94785,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292SiHCH2Si%28CH3%29%3A/smiles,,,[None],,
273,3.16,13,-136357,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292SiHCH2Si%28CH3%29%3A/smiles,,,[None],,
274,3,13,-43651,https://cactus.nci.nih.gov/chemical/structure/CFCl2O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COClF/smiles,[None],
275,3,13,-43651,https://cactus.nci.nih.gov/chemical/structure/CFCl2O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COClF/smiles,[None],
276,2.47,5,-1796,https://cactus.nci.nih.gov/chemical/structure/CFCl2O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COClF/smiles,[None],
289,2.9,-3,-119670,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
290,3.15,-3,-120535,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
291,1.36,10,-94577,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
292,1.81,10,-93089,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
293,5.37,9,-95650,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
294,7.1,13,-113285,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
