RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
157,120,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1CC93C24CF4443CC51AA970DF6F1357?id=1996GAJ/OLS299-306:2,1,1.43,-5,,[None],,,[None],,,"563
 
K",1
159,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:12,1,3.63,15,-440157,HOPO2,,,(.)OH,PO2,,1000,1
160,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:14,1,2.57,18,-382836,HOPO2,,,(.)OH,PO2,,1000,1
161,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:13,1,9.16,-26,-506264,HOPO2,,,(.)OH,PO2,,1000,1
162,122,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:11,1,2.01,18,-468608,HOPO2,,,(.)OH,PO2,,1000,1
163,123,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DB509E10B70AE2217D450110607C635D?id=1993WAL/HUR442-448:4,1,3,-3,,CF3ONO2,,,NO2,CF3O,,"205
 
K",1
175,129,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1997SEH/MOG673-682:9,2,3.16,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"295
 
K",2
176,129,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1992MAR/SZE10862-10868:5,2,5.99,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"297
 
K",2
177,130,http://kinetics.nist.gov/kinetics/Detail;jsessionid=75C57DA4CFFBCB92200CD675B43D33E1?id=1997ATK/BAU521-1011:463,2,7.8,-13,5030,CF3CFHO2(.),CF3CFHO2(.),,[None],O2,,200,2
180,132,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FB957347E243A0301F07EBF60D5DF86?id=1997SEH/MOG673-682:8,2,3.5,-13,,CF3CFHO2(.),CF3CFHO2(.),,CF3CFHOH,CF3COF,O2,"295
 
K",2
181,132,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FB957347E243A0301F07EBF60D5DF86?id=1992MAR/SZE10862-10868:4,2,1,-12,,CF3CFHO2(.),CF3CFHO2(.),,CF3CFHOH,CF3COF,O2,"297
 
K",2
186,135,http://kinetics.nist.gov/kinetics/Detail;jsessionid=952A45CEF6C3BE98CBBB901DF2009BE6?id=1991ROT/RUH2047-2051:2,1,2.95,10,-27188,[None],,,[None],,,423,1
190,139,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7C02D95E4E77DEFEADBE36D6EEE871AF?id=1990ATK/TUA1071-1082:3,1,3,12,-38662,[None],,,['C1=CC=CC2=CC=CC=C12'],NO3,,272,1
191,139,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7C02D95E4E77DEFEADBE36D6EEE871AF?id=2007ATK/ARE15-40:4,1,5,5,,[None],,,['C1=CC=CC2=CC=CC=C12'],NO3,,"298
 
K",1
192,139,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7C02D95E4E77DEFEADBE36D6EEE871AF?id=2007ATK/ARE15-40:3,1,1.6,6,,[None],,,['C1=CC=CC2=CC=CC=C12'],NO3,,"298
 
K",1
193,140,http://kinetics.nist.gov/kinetics/Detail;jsessionid=25C47A542126A209A417C0204CBCCB7D?id=1997BOY/LES323-331:5,2,4,4,-29932,CH3CH(OH)CH(CH3)OO(.),CH3CH(OH)CH(CH3)OO(.),,O2,HOCH(CH3)CH(CH3(O(.),HOCH(CH3)CH(CH3(O(.),303,2
196,142,http://kinetics.nist.gov/kinetics/Detail;jsessionid=87B227B28103C5CCC4024F8E305E9366?id=1991MCG/DEM939-945:2,1,5.89,13,-188739,[None],,,['C(C)OC1CCCC1'],,,547,1
197,143,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3AC666B562673649C7317C233B848694?id=2004CAV/FAS705-720:3,1,6.4,11,-74894,[None],,,[None],,,500,1
198,144,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71977AEB53520EFE2A8FDD3ED299B1F3?id=2004CAV/FAS705-720:5,1,1.1,12,-94140,[None],,,[None],,,500,1
199,145,http://kinetics.nist.gov/kinetics/Detail;jsessionid=07CE5F7D6E60660B20EF58134028DE7C?id=2004CAV/FAS705-720:8,1,6.3,12,-172799,[None],,,['C=CC=CC=C'],H(.),,500,1
200,146,http://kinetics.nist.gov/kinetics/Detail;jsessionid=77881489A2A1555CC95B98E2B7A32AAB?id=2004CAV/FAS705-720:2,1,3.36,17,-195393,[None],,,['C=CC=C'],C2H3,,500,1
202,148,http://kinetics.nist.gov/kinetics/Detail;jsessionid=67879F93D9690D7BF15A3946ED353576?id=2013CAO/WAN1161:1,1,3.39,12,-65310,CH3SO3,,,(.)CH3,SO3,,200,1
203,149,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A98FE4235CB6A424327D430F6432ED35?id=2013CAO/WAN1161:2,1,9.17,12,-156462,CH3SO3,,,CH3O(.),SO2,,200,1
205,151,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ED1A191BE48C5D4EEE45D6083475A77?id=2013CAO/WAN1161:3,1,1.72,13,-208128,CH3SO3,,,HOSO,CH2O,,200,1
206,152,http://kinetics.nist.gov/kinetics/Detail;jsessionid=296F07DE1C5DE8D3306716DF83307CDA?id=2013CAO/WAN1161:4,1,1.05,12,-255803,CH3SO3,,,(.)CH=SO2,H2O,,200,1
207,153,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2E3B69CFA23C90BDDD6B94F6641DA9F4?id=2013CAO/WAN1161:5,1,3.32,12,-376222,CH3SO3,,,(.)CH2SO3,H(.),,200,1
208,154,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B42F8F347AA85D52918B132A4CE472EC?id=2009MEB/KIS9825-9833:5,1,1,-5,,[None],,,['C1=CC=CC2=CC=CC=C12'],H2,,300,1
209,155,http://kinetics.nist.gov/kinetics/Detail;jsessionid=43802EBCF78E11CC4BEC2D76B96EACE8?id=2009MEB/KIS9825-9833:3,1,3.71,15,-326013,[None],,,[None],H(.),,300,1
210,155,http://kinetics.nist.gov/kinetics/Detail;jsessionid=43802EBCF78E11CC4BEC2D76B96EACE8?id=2009MEB/KIS9825-9833:1,1,5.95,15,-327461,[None],,,[None],H(.),,300,1
211,156,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E40FD55F2122B207717269309EAC0A0B?id=2009MEB/KIS9825-9833:4,1,4.41,12,-292093,[None],,,[None],H(.),,300,1
212,156,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E40FD55F2122B207717269309EAC0A0B?id=2009MEB/KIS9825-9833:2,1,5.31,12,-292717,[None],,,[None],H(.),,300,1
220,161,http://kinetics.nist.gov/kinetics/Detail;jsessionid=12838E87C8E5D594C276A34D33AE4C71?id=1992HOP/WAC711-721:2,1,2.29,10,-144672,CH≡CCH2CH2CH=CHCH3-(Z)-,,,CH2=C=CHCH(CH3)CH=CH2,,,493,1
221,162,http://kinetics.nist.gov/kinetics/Detail;jsessionid=35C6683E2D2D8A03DF2DCE32FC383D27?id=1992HOP/WAC711-721:1,1,5.25,10,-144672,"CH≡CCH2CH2CH=CHCH3(E),-",,,CH2=C=CHCH(CH3)CH=CH2,,,493,1
222,163,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D35467B2E7A80157E34E1EFBC956A635?id=2003TOK/LIN11397-11408:7,1,4.61,11,-109914,2-(.)C6H4C2H3,,,[None],,,250,1
223,164,http://kinetics.nist.gov/kinetics/Detail;jsessionid=47D6F58E7D6D30F3D0484D102B9DDF5D?id=1990ALA/ALB2903-2910:7,1,1.02,12,-153818,['CC(C)(C)OC(=O)C1=COC=C1'],,,['C=C(C)C'],['O1C=C(C=C1)C(=O)O'],,561,1
224,165,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C2434F0E366696B14FF3336649A220BB?id=1990ALA/ALB2903-2910:6,1,1.02,12,-152986,['CC(C)(C)OC(=O)C1=CSC=C1'],,,['S1C=C(C=C1)C(=O)O'],['C=C(C)C'],,560,1
225,166,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8F9D66ED740051FEE747365E859D221B?id=1990ALA/ALB2911-2916:7,1,5.75,13,-194559,['CC(C)OC(=O)C1=COC=C1'],,,CH3CH=CH2,['O1C=C(C=C1)C(=O)O'],,643,1
226,167,http://kinetics.nist.gov/kinetics/Detail;jsessionid=998650F4C020853AD3ABDA021838C8F4?id=1990ALA/ALB2911-2916:6,1,4.17,13,-192896,['CC(C)OC(=O)C1=CSC=C1'],,,['S1C=C(C=C1)C(=O)O'],CH3CH=CH2,,640,1
227,168,http://kinetics.nist.gov/kinetics/Detail;jsessionid=33591A39A66E7EA9CC03CDD0731ED15C?id=1990ALA/ALB2911-2916:5,1,7.94,12,-182087,['CC(C)OC(=O)C1=CC=NC=C1'],,,['N1=CC=C(C=C1)C(=O)O'],CH3CH=CH2,,636,1
