ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
795,1.7,-4,-43706,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
796,1.16,-4,-43225,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
797,7.9,12,-22215,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
798,6.31,12,-122223,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
799,1.13,-7,-235488,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
800,2.46,-7,-235421,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
801,3.61,-7,-235902,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
802,2.65,-7,-273056,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH3/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH/smiles,
803,4.41,-7,-272115,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH3/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH/smiles,
804,8.06,-7,-273479,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH3/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH/smiles,
805,2.18,15,-271709,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH3/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH/smiles,
806,1.62,-7,-175238,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/SiH4/smiles,
807,3.71,-7,-175167,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/SiH4/smiles,
808,5.15,-7,-175649,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/SiH4/smiles,
809,2.07,14,-170849,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/SiH4/smiles,
831,2,11,-150492,https://cactus.nci.nih.gov/chemical/structure/CH3%28CH2%297CCl%28CH3%29CH2CH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
910,3.16,13,-255254,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,
922,1.9,-1,-127211,https://cactus.nci.nih.gov/chemical/structure/CH2%3DSiHCH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292Si/smiles,,
961,2,12,-89796,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%292CH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28CH3%292/smiles,,
962,3.98,14,-212019,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%292CH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292Si%3DCH2/smiles,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293Si%28.%29/smiles,
965,9.33,11,-177930,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH%28C6H5%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2CH%3DCH%28C6H5%29/smiles,,
966,9.33,11,-177930,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH%28C6H5%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2CH%3DCH%28C6H5%29/smiles,,
967,1.55,12,-197884,https://cactus.nci.nih.gov/chemical/structure/C6H5%28CH3%292SiCH%28CH3%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C6H5%28CH3%292Si-CH2-CH%3DCHCH3/smiles,,
968,1.55,12,-197884,https://cactus.nci.nih.gov/chemical/structure/C6H5%28CH3%292SiCH%28CH3%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/C6H5%28CH3%292Si-CH2-CH%3DCHCH3/smiles,,
1043,2.09,12,-199547,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH%28CH3%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2CH%3DCHCH3/smiles,,
1044,2.09,12,-199547,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH%28CH3%29CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2CH%3DCHCH3/smiles,,
1057,3.39,13,-141346,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCBrCH%3DCH2/smiles,,
1058,2.51,15,-282692,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292SiH%28CH2%293CH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCH2CH2CH2%26middot/smiles,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292SiH%28.%29/smiles,
1092,1.78,14,-207030,https://cactus.nci.nih.gov/chemical/structure/CH3%28CH2%294CHClCH2CHCl%28CH2%293CH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1116,8.71,12,-187076,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrCH2CH%3DCH2/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HBr/smiles,
1123,3,13,-40408,https://cactus.nci.nih.gov/chemical/structure/C2Cl5O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CCl3COCl/smiles,[None],
1127,2.2,11,-92801,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CHClCH2OH/smiles,,
1130,1,11,-33890,https://cactus.nci.nih.gov/chemical/structure/CH3C%28%3A%29Cl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,,
1149,1,13,-146335,https://cactus.nci.nih.gov/chemical/structure/%28n-C3H7%29-O-O-%28n-C3H7%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/n-C3H7O/smiles,https://cactus.nci.nih.gov/chemical/structure/n-C3H7O/smiles,
1150,1.42,15,-150492,https://cactus.nci.nih.gov/chemical/structure/%28n-C3H7%29-O-O-%28n-C3H7%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/n-C3H7O/smiles,https://cactus.nci.nih.gov/chemical/structure/n-C3H7O/smiles,
1154,3.98,12,-187907,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1285,1.66,12,-186244,https://cactus.nci.nih.gov/chemical/structure/CH3CHClCH2C%28O%29CH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1289,1,15,-191233,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28CH3%292/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292Si%3DCH2/smiles,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293Si%28.%29/smiles,
1295,1.05,14,-238697,https://cactus.nci.nih.gov/chemical/structure/CH3CCl2F/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCFCl/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
